Code,Site,Reg,Lat,Lon,PopEstADPE,PopEstCHPE,PopEstGEPE,PopEstPygo,PopEstANSH,Comments
CRAB,Crab Beach,Elephant Island,-61.246,-55.17,0,4150,0,4150,0,
CRBA,Cresta Run Bay,Elephant Island,-61.236,-55.359,0,815,0,815,0,
CROW,Crown Head,South Orkney Islands,-60.624,-45.3268583,0,2000,0,2000,0,
CHEC,Crown Head (east coast),South Orkney Islands,-60.627,-45.259,0,2200,0,2200,0,
CUVE,Cuverville Island,Central-west Antarctic Peninsula,-64.684,-62.626,0,0,10226.67523,10226.67523,0,
DANC,Danco Island,Central-west Antarctic Peninsula,-64.734,-62.5938,0,0,3736.038977,3736.038977,0,
DARB,Darbel Island,Southwest Antarctic Peninsula,-66.3808,-65.9003,325.0142328,0,0,325.0142328,39,
DARX,Darboux Island,Central-west Antarctic Peninsula,-65.4028,-64.215,0,0,0,0,0,
DARW,Darwin Island,Northeast Antarctic Peninsula,-63.437,-54.726,5061.739061,0,0,5061.739061,0,
DAVE,Davey Point,South Shetland Islands,-61.9689,-58.5302,0,560,0,560,10,
DIEA,Davis Island East,Central-west Antarctic Peninsula,-64.0892,-62.0547,0,0,0,0,50,
DECI,Decimal Point,Elephant Island,-61.097,-54.702,0,200,0,200,0,
DEEI,Dee Island,South Shetland Islands,-62.4229,-59.7836,0,0,0,0,0,
DELA,Delaite Island,Central-west Antarctic Peninsula,-64.5643,-62.1881,0,138.5617095,0,138.5617095,115,
DMRX,Demas Rocks,Northwest Antarctic Peninsula,-63.35,-58.0333,0,0,0,0,10,
DEMA,Demay Point,South Shetland Islands,-62.2137,-58.4191,0,217,0,217,0,
DESC,Descazes Island,Southwest Antarctic Peninsula,-67.3334,-67.3334,0,0,0,0,0,
DESO,Desolation Island,South Shetland Islands,-62.4578,-60.3468,0,12000,0,12000,0,
DETA,Detaille Island,Southwest Antarctic Peninsula,-66.8708,-66.7867,407.154905,0,0,407.154905,2,
DEVI,Devil Island,Northeast Antarctic Peninsula,-63.7992,-57.2889,12570.99941,0,0,12570.99941,0,
DEPT,Devils Point,South Shetland Islands,-62.6714,-61.1829,0,3666.666667,0,3666.666667,0,
DAMO,Dorian Bay/Damoy Point,Central-west Antarctic Peninsula,-64.8149,-63.4968,0,0,2228.682577,2228.682577,0,
DOBE,Dorian Beacon,Central-west Antarctic Peninsula,-64.811111,-63.511389,0,0,194.1782118,194.1782118,0,
DREA,Dream Island,Central-west Antarctic Peninsula,-64.7254,-64.2256,1319.276383,136,0,1455.276383,0,
DREW,Dream Island West (Casey Islands),Central-west Antarctic Peninsula,-64.729528,-64.253955,0,47,0,47,0,
DRIE,Driencourt Point,Central-west Antarctic Peninsula,-64.2072,-62.5375,0,0,0,0,30,
